Country;Country Code;Region;Continent
Afghanistan;AFG;Southern Asia;Asia
Åland Islands;ALA;Northern Europe;Europe
Albania;ALB;Southern Europe;Europe
Algeria;DZA;Northern Africa;Africa
American Samoa;ASM;Polynesia;Oceania
Andorra;AND;Southern Europe;Europe
Angola;AGO;Sub-Saharan Africa;Africa
Anguilla;AIA;Latin America and the Caribbean;North America
Antarctica;ATA;;Antarctica
Antigua and Barbuda;ATG;Latin America and the Caribbean;North America
Argentina;ARG;Latin America and the Caribbean;South America
Armenia;ARM;Western Asia;Asia
Aruba;ABW;Latin America and the Caribbean;North America
Australia;AUS;Australia and New Zealand;Oceania
Austria;AUT;Western Europe;Europe
Azerbaijan;AZE;Western Asia;Asia
Bahamas;BHS;Latin America and the Caribbean;North America
Bahrain;BHR;Western Asia;Asia
Bangladesh;BGD;Southern Asia;Asia
Barbados;BRB;Latin America and the Caribbean;North America
Belarus;BLR;Eastern Europe;Europe
Belgium;BEL;Western Europe;Europe
Belize;BLZ;Latin America and the Caribbean;North America
Benin;BEN;Sub-Saharan Africa;Africa
Bermuda;BMU;Northern America;North America
Bhutan;BTN;Southern Asia;Asia
Bolivia (Plurinational State of);BOL;Latin America and the Caribbean;South America
Bonaire, Sint Eustatius and Saba;BES;Latin America and the Caribbean;North America
Bosnia and Herzegovina;BIH;Southern Europe;Europe
Botswana;BWA;Sub-Saharan Africa;Africa
Brazil;BRA;Latin America and the Caribbean;South America
British Indian Ocean Territory;IOT;Sub-Saharan Africa;Africa
Brunei Darussalam;BRN;South-eastern Asia;Asia
Bulgaria;BGR;Eastern Europe;Europe
Burkina Faso;BFA;Sub-Saharan Africa;Africa
Burundi;BDI;Sub-Saharan Africa;Africa
Cabo Verde;CPV;Sub-Saharan Africa;Africa
Cambodia;KHM;South-eastern Asia;Asia
Cameroon;CMR;Sub-Saharan Africa;Africa
Canada;CAN;Northern America;North America
Cayman Islands;CYM;Latin America and the Caribbean;North America
Central African Republic;CAF;Sub-Saharan Africa;Africa
Chad;TCD;Sub-Saharan Africa;Africa
Chile;CHL;Latin America and the Caribbean;South America
China;CHN;Eastern Asia;Asia
Christmas Island;CXR;Australia and New Zealand;Oceania
Cocos (Keeling) Islands;CCK;Australia and New Zealand;Oceania
Colombia;COL;Latin America and the Caribbean;South America
Comoros;COM;Sub-Saharan Africa;Africa
Congo;COG;Sub-Saharan Africa;Africa
Congo, Democratic Republic of the;COD;Sub-Saharan Africa;Africa
Cook Islands;COK;Polynesia;Oceania
Costa Rica;CRI;Latin America and the Caribbean;North America
Côte d'Ivoire;CIV;Sub-Saharan Africa;Africa
Croatia;HRV;Southern Europe;Europe
Cuba;CUB;Latin America and the Caribbean;North America
Curaçao;CUW;Latin America and the Caribbean;North America
Cyprus;CYP;Western Asia;Asia
Czechia;CZE;Eastern Europe;Europe
Denmark;DNK;Northern Europe;Europe
Djibouti;DJI;Sub-Saharan Africa;Africa
Dominica;DMA;Latin America and the Caribbean;North America
Dominican Republic;DOM;Latin America and the Caribbean;North America
Ecuador;ECU;Latin America and the Caribbean;South America
Egypt;EGY;Northern Africa;Africa
El Salvador;SLV;Latin America and the Caribbean;North America
Equatorial Guinea;GNQ;Sub-Saharan Africa;Africa
Eritrea;ERI;Sub-Saharan Africa;Africa
Estonia;EST;Northern Europe;Europe
Eswatini;SWZ;Sub-Saharan Africa;Africa
Ethiopia;ETH;Sub-Saharan Africa;Africa
Falkland Islands (Malvinas);FLK;Latin America and the Caribbean;South America
Faroe Islands;FRO;Northern Europe;Europe
Fiji;FJI;Melanesia;Oceania
Finland;FIN;Northern Europe;Europe
France;FRA;Western Europe;Europe
French Guiana;GUF;Latin America and the Caribbean;South America
French Polynesia;PYF;Polynesia;Oceania
French Southern Territories;ATF;Sub-Saharan Africa;Africa
Gabon;GAB;Sub-Saharan Africa;Africa
Gambia;GMB;Sub-Saharan Africa;Africa
Georgia;GEO;Western Asia;Asia
Germany;DEU;Western Europe;Europe
Ghana;GHA;Sub-Saharan Africa;Africa
Gibraltar;GIB;Southern Europe;Europe
Greece;GRC;Southern Europe;Europe
Greenland;GRL;Northern America;North America
Grenada;GRD;Latin America and the Caribbean;North America
Guadeloupe;GLP;Latin America and the Caribbean;North America
Guam;GUM;Micronesia;Oceania
Guatemala;GTM;Latin America and the Caribbean;North America
Guernsey;GGY;Northern Europe;Europe
Guinea;GIN;Sub-Saharan Africa;Africa
Guinea-Bissau;GNB;Sub-Saharan Africa;Africa
Guyana;GUY;Latin America and the Caribbean;South America
Haiti;HTI;Latin America and the Caribbean;North America
Heard Island and McDonald Islands;HMD;Australia and New Zealand;Oceania
Holy See;VAT;Southern Europe;Europe
Honduras;HND;Latin America and the Caribbean;North America
Hong Kong;HKG;Eastern Asia;Asia
Hungary;HUN;Eastern Europe;Europe
Iceland;ISL;Northern Europe;Europe
India;IND;Southern Asia;Asia
Indonesia;IDN;South-eastern Asia;Asia
Iran (Islamic Republic of);IRN;Southern Asia;Asia
Iraq;IRQ;Western Asia;Asia
Ireland;IRL;Northern Europe;Europe
Isle of Man;IMN;Northern Europe;Europe
Israel;ISR;Western Asia;Asia
Italy;ITA;Southern Europe;Europe
Jamaica;JAM;Latin America and the Caribbean;North America
Japan;JPN;Eastern Asia;Asia
Jersey;JEY;Northern Europe;Europe
Jordan;JOR;Western Asia;Asia
Kazakhstan;KAZ;Central Asia;Asia
Kenya;KEN;Sub-Saharan Africa;Africa
Kiribati;KIR;Micronesia;Oceania
Korea (Democratic People's Republic of);PRK;Eastern Asia;Asia
Korea, Republic of;KOR;Eastern Asia;Asia
Kuwait;KWT;Western Asia;Asia
Kyrgyzstan;KGZ;Central Asia;Asia
Lao People's Democratic Republic;LAO;South-eastern Asia;Asia
Latvia;LVA;Northern Europe;Europe
Lebanon;LBN;Western Asia;Asia
Lesotho;LSO;Sub-Saharan Africa;Africa
Liberia;LBR;Sub-Saharan Africa;Africa
Libya;LBY;Northern Africa;Africa
Liechtenstein;LIE;Western Europe;Europe
Lithuania;LTU;Northern Europe;Europe
Luxembourg;LUX;Western Europe;Europe
Macao;MAC;Eastern Asia;Asia
Madagascar;MDG;Sub-Saharan Africa;Africa
Malawi;MWI;Sub-Saharan Africa;Africa
Malaysia;MYS;South-eastern Asia;Asia
Maldives;MDV;Southern Asia;Asia
Mali;MLI;Sub-Saharan Africa;Africa
Malta;MLT;Southern Europe;Europe
Marshall Islands;MHL;Micronesia;Oceania
Martinique;MTQ;Latin America and the Caribbean;North America
Mauritania;MRT;Sub-Saharan Africa;Africa
Mauritius;MUS;Sub-Saharan Africa;Africa
Mayotte;MYT;Sub-Saharan Africa;Africa
Mexico;MEX;Latin America and the Caribbean;North America
Micronesia (Federated States of);FSM;Micronesia;Oceania
Moldova, Republic of;MDA;Eastern Europe;Europe
Monaco;MCO;Western Europe;Europe
Mongolia;MNG;Eastern Asia;Asia
Montenegro;MNE;Southern Europe;Europe
Montserrat;MSR;Latin America and the Caribbean;North America
Morocco;MAR;Northern Africa;Africa
Mozambique;MOZ;Sub-Saharan Africa;Africa
Myanmar;MMR;South-eastern Asia;Asia
Namibia;NAM;Sub-Saharan Africa;Africa
Nauru;NRU;Micronesia;Oceania
Nepal;NPL;Southern Asia;Asia
Netherlands;NLD;Western Europe;Europe
New Caledonia;NCL;Melanesia;Oceania
New Zealand;NZL;Australia and New Zealand;Oceania
Nicaragua;NIC;Latin America and the Caribbean;North America
Niger;NER;Sub-Saharan Africa;Africa
Nigeria;NGA;Sub-Saharan Africa;Africa
Niue;NIU;Polynesia;Oceania
Norfolk Island;NFK;Australia and New Zealand;Oceania
North Macedonia;MKD;Southern Europe;Europe
Northern Mariana Islands;MNP;Micronesia;Oceania
Norway;NOR;Northern Europe;Europe
Oman;OMN;Western Asia;Asia
Pakistan;PAK;Southern Asia;Asia
Palau;PLW;Micronesia;Oceania
Palestine, State of;PSE;Western Asia;Asia
Panama;PAN;Latin America and the Caribbean;North America
Papua New Guinea;PNG;Melanesia;Oceania
Paraguay;PRY;Latin America and the Caribbean;South America
Peru;PER;Latin America and the Caribbean;South America
Philippines;PHL;South-eastern Asia;Asia
Pitcairn;PCN;Polynesia;Oceania
Poland;POL;Eastern Europe;Europe
Portugal;PRT;Southern Europe;Europe
Puerto Rico;PRI;Latin America and the Caribbean;North America
Qatar;QAT;Western Asia;Asia
Réunion;REU;Sub-Saharan Africa;Africa
Romania;ROU;Eastern Europe;Europe
Russian Federation;RUS;Eastern Asia;Asia
Rwanda;RWA;Sub-Saharan Africa;Africa
Saint Barthélemy;BLM;Latin America and the Caribbean;North America
Saint Helena, Ascension and Tristan da Cunha;SHN;Sub-Saharan Africa;Africa
Saint Kitts and Nevis;KNA;Latin America and the Caribbean;North America
Saint Lucia;LCA;Latin America and the Caribbean;North America
Saint Martin (French part);MAF;Latin America and the Caribbean;North America
Saint Pierre and Miquelon;SPM;Northern America;North America
Saint Vincent and the Grenadines;VCT;Latin America and the Caribbean;North America
Samoa;WSM;Polynesia;Oceania
San Marino;SMR;Southern Europe;Europe
Sao Tome and Principe;STP;Sub-Saharan Africa;Africa
Saudi Arabia;SAU;Western Asia;Asia
Senegal;SEN;Sub-Saharan Africa;Africa
Serbia;SRB;Southern Europe;Europe
Seychelles;SYC;Sub-Saharan Africa;Africa
Sierra Leone;SLE;Sub-Saharan Africa;Africa
Singapore;SGP;South-eastern Asia;Asia
Sint Maarten (Dutch part);SXM;Latin America and the Caribbean;North America
Slovakia;SVK;Eastern Europe;Europe
Slovenia;SVN;Southern Europe;Europe
Solomon Islands;SLB;Melanesia;Oceania
Somalia;SOM;Sub-Saharan Africa;Africa
South Africa;ZAF;Sub-Saharan Africa;Africa
South Georgia and the South Sandwich Islands;SGS;Latin America and the Caribbean;South America
South Sudan;SSD;Sub-Saharan Africa;Africa
Spain;ESP;Southern Europe;Europe
Sri Lanka;LKA;Southern Asia;Asia
Sudan;SDN;Northern Africa;Africa
Suriname;SUR;Latin America and the Caribbean;South America
Svalbard and Jan Mayen;SJM;Northern Europe;Europe
Sweden;SWE;Northern Europe;Europe
Switzerland;CHE;Western Europe;Europe
Syrian Arab Republic;SYR;Western Asia;Asia
Taiwan, Province of China;TWN;Eastern Asia;Asia
Tajikistan;TJK;Central Asia;Asia
Tanzania, United Republic of;TZA;Sub-Saharan Africa;Africa
Thailand;THA;South-eastern Asia;Asia
Timor-Leste;TLS;South-eastern Asia;Asia
Togo;TGO;Sub-Saharan Africa;Africa
Tokelau;TKL;Polynesia;Oceania
Tonga;TON;Polynesia;Oceania
Trinidad and Tobago;TTO;Latin America and the Caribbean;North America
Tunisia;TUN;Northern Africa;Africa
Turkey;TUR;Western Asia;Asia
Turkmenistan;TKM;Central Asia;Asia
Turks and Caicos Islands;TCA;Latin America and the Caribbean;North America
Tuvalu;TUV;Polynesia;Oceania
Uganda;UGA;Sub-Saharan Africa;Africa
Ukraine;UKR;Eastern Europe;Europe
United Arab Emirates;ARE;Western Asia;Asia
United Kingdom of Great Britain and Northern Ireland;GBR;Northern Europe;Europe
United States of America;USA;Northern America;North America
United States Minor Outlying Islands;UMI;Micronesia;Oceania
Uruguay;URY;Latin America and the Caribbean;South America
Uzbekistan;UZB;Central Asia;Asia
Vanuatu;VUT;Melanesia;Oceania
Venezuela (Bolivarian Republic of);VEN;Latin America and the Caribbean;South America
Viet Nam;VNM;South-eastern Asia;Asia
Virgin Islands (British);VGB;Latin America and the Caribbean;North America
Virgin Islands (U.S.);VIR;Latin America and the Caribbean;North America
Wallis and Futuna;WLF;Polynesia;Oceania
Western Sahara;ESH;Northern Africa;Africa
Yemen;YEM;Western Asia;Asia
Zambia;ZMB;Sub-Saharan Africa;Africa
Zimbabwe;ZWE;Sub-Saharan Africa;Africa
